they will love;pokochają
lives;żyje
still;nadal
she stayed;została
buried;pochowana
in;w
Nearby;pobliżu
his;swojego
house;domu
was;była
near;blisko
dying;śmierci
want;chcę
commit;popełnić
suicide;samobójstwo
but;ale
no;nie
I know;wiem
how;jak
two;dwie
minutes;minuty
silence;ciszy
for;dla
victims;ofiar
disaster;katastrofy
in;w
hillsborough;hillsborough
she died;zmarła
in;we
Tuesday;wtorek
in;w
century;wieku
88;88
years;lat
rachel;rachel
she stayed;została
buried;pochowana
two;dwa
days;dni
later;później
thousands;tysiące
people;ludzi
gathered;zgromadziły
himself;się
on;na
his;jego
funeral;pogrzebie
his;jego
death;śmierć
shocked;zszokowała
fans;fanów
thousands;tysiące
people;ludzi
future;przyszły
on;na
her;jej
funeral;pogrzeb
He died;zmarł
in;w
young;młodym
century;wieku
speaking;przemawiał
on;na
funeral;pogrzebie
He died;zmarł
in;w
century;wieku
seventy;siedemdziesięciu
five;pięciu
years;lat
she died;zmarła
many;wiele
years;lat
ago;temu
He died;zmarł
on;na
cancer;raka
spit;płuc
received;odebrała
himself;sobie
life;życie
she died;zmarła
in;w
result;wyniku
overdose;przedawkowania
drugs;narkotyków
no;nie
will;będzie
he had;miał
funeral;pogrzebu
of state;państwowego
Polish people;polacy
give;oddają
tribute;hołd
President;prezydentowi
Lech;lechowi
Kaczynski;kaczyńskiemu
never;nigdy
you;cię
no;nie
I will forget;zapomnę
funeral;pogrzeb
It was;był
magnificent;wspaniały
she;ona
is;jest
in;w
mourning;żałobie
I am;jestem
behind;za
young;młoda
in order to;żeby
die;umrzeć
no;nie
I can;mogę
die;umrzeć
his;jego
death;śmierć
this;to
huge;wielka
loss;strata
recently;niedawno
died;umarł
President;prezydent
announced;ogłosił
three;trzy
days;dni
mourning;żałoby
national;narodowej
He died;zmarł
in;we
own;własnym
bed;łóżku
I;ja
will lead;poprowadzę
and;a
you;wy
himself;się
some;trochę
slumber;zdrzemniecie
I dozed off;zdrzemnąłem
himself;się
some;trochę
no;nie
need;potrzebuję
a lot;dużo
dream;snu
about;o
little;mało
no;nie
I fell asleep;zasnąłem
I heard;usłyszałem
snore;chrapanie
my;mojej
aunts;ciotki
yet;jeszcze
no;nie
put;położył
himself;się
down;do
bed;łóżka
no;nie
I can;potrafię
tell;powiedzieć
how;jak
long;długo
I slept;spałem
no;nie
I could;mogłem
fall asleep;zasnąć
put;położyła
your;swoje
child;dziecko
sleep;spać
she;ona
says;mówi
through;przez
dream;sen
I slept;spałem
further;dalej
despite;mimo
that;że
he called;dzwonił
alarm clock;budzik
no;nie
I'm sleeping;sypiam
well;dobrze
body;ciało
regenerates;regeneruje
himself;się
during;podczas
dream;snu
should;powinieneś
himself;się
some;trochę
sleep;przespać
no;nie
narrowed;zmrużył
eye;oka
I slept;przespałem
all;cały
day;dzień
I thought;myślałem
at first;zrazu
that;że
lair;leżę
in;we
own;własnym
bed;łóżku
lying;leżąc
in;w
bed;łóżku
mulling;rozmyślałem
about;o
many;wielu
things;rzeczach
I was;byłem
Yes;tak
sleepy;senny
that;że
eyes;oczy
to me;mi
himself;się
clung;kleiły
when;kiedy
he heard;usłyszał
me;mnie
in;w
room;pokoju
awake;przebudził
himself;się
and;i
sat;usiadł
we will;będziemy
hungry;głodni
how;jak
himself;się
we wake up;obudzimy
after;po
some;pewnym
time;czasie
I woke;zbudziłem
him;go
and;i
we moved;ruszyliśmy
in;w
way;drogę
I sleep;śpię
at;przy
open;otwartym
OK no;oknie
loud;głośno
snoring;chrapał
teacher;nauczyciel
explained;wyjaśnił
theory;teorię
point;punkt
after;po
point;punkcie
lowered;obniżono
him;mu
evaluation;ocenę
behind;za
mistakes;błędy
spelling;ortograficzne
I teach;uczę
himself;się
languages;języków
foreign;obcych
in;w
School;szkole
well;dobrze
her;jej
goes;idzie
She went;poszła
down;do
school;szkoły
is;jest
good;dobry
with;z
mathematics;matematyki
it comes;chodzi
on;na
courses;kursy
English;angielskiego
no;nie
he liked;lubił
classes;zajęć
how;jak
best;najlepiej
teach;uczyć
himself;się
new;nowego
language;języka
in;w
century;wieku
fifteen;piętnastu
years;lat
He graduated;ukończyła
School;szkołę
average;średnią
fast;szybko
He learned;nauczyła
himself;się
language;języka
French;francuskiego
He stopped;przestał
attend;uczęszczać
down;do
school;szkoły
when;kiedy
he had;miał
12;12
years;lat
no;nie
they want;chcą
go;chodzić
down;do
school;szkoły
maths;matematyka
is;jest
for;dla
him;niego
childishly;dziecinnie
straight;prosta
when;kiedy
I came back;wróciłem
that;ze
school;szkoły
let's go;chodzimy
down;do
this;tej
same;samej
school;szkoły
today;dzisiaj
no;nie
it was;było
lesson;lekcji
pass;zdać
exam;egzamin
with flying colors;śpiewająco
no;nie
want;chce
to me;mi
himself;się
to do;odrabiać
lesson;lekcji
in;w
School;szkole
was;była
excellent;świetną
schoolgirl;uczennicą
zmierzwiły;zmierzwiły
him;mu
himself;się
hair;włosy
his;jego
face;twarz
pożłobiły;pożłobiły
deep;głębokie
furrows;bruzdy
he had;miał
dark circles;podkrążone
eyes;oczy
presented;przedstawiał
deplorable;opłakany
view;widok
he had;miał
skinny;chudą
face;twarz
was;była
high;wysoka
how;jak
on;na
your;swój
age;wiek
It was;był
this;to
man;człowiek
50-year-old;50-letni
that;ze
thatch;strzechą
graying;siwiejących
hair;włosów
It was;był
stocky;krępy
and;i
still;wciąż
yet;jeszcze
very;bardzo
powerful;silny
he had;miał
Gray;siwe
hair;włosy
released;wydała
to me;mi
himself;się
very;bardzo
beauty;piękna
when;kiedy
she went;szła
to;ku
me;mnie
no;nie
released;wydała
to me;mi
himself;się
high;wysoka
she had;miała
thick;grube
full;pełne
lips;wargi
and;i
black;czarne
eyes;oczy
He looked;wyglądała
very;bardzo
nice / pretty;ładnie/ślicznie
she had;miała
blond;blond
hair;włosy
swarthy;smagłą
complexion;cerę
and;i
grey;szare
eyes;oczy
was;była
plump;pulchna
swarthy;smagła
and;i
He looked;wyglądała
on;na
about;około
sixteen;szesnaście
years;lat
major;major
It was;był
small;małym
little man;człowieczkiem
with;z
podkręcanymi;podkręcanymi
mustache;wąsami
woman;kobieta
It has;ma
pale;bladą
face;twarz
and;i
dark;ciemne
hair;włosy
no;nie
He wore;nosiła
makeup;makijażu
he had;miał
wrinkled;pomarszczoną
face;twarz
she changed;zmieniła
Colour;kolor
hair;włosów
he;on
wears;nosi
hair;włosy
combed;zaczesane
down;do
so many;tyłu
done;zrobił
himself;sobie
tattoo;tatuaż
everybody;wszyscy
they wore;nosili
beard;brodę
It was;był
cut;ostrzyżony
on;na
zero;zero
he started;zaczął
balding;łysieć
look;wyglądał
how;jak
aristocrat;arystokrata
how;jak
throw;rzucić
smoking;palenie
smoking;palenie
tobacco;tytoniu
harms;szkodzi
health;zdrowiu
smoking;palenie
tobacco;tytoniu
is;jest
the most common;najczęstszą
cause;przyczyną
diseases;chorób
spit;płuc
smokers;palacze
can;mogą
injure;szkodzić
health;zdrowiu
members;członków
families;rodziny
dangerous;niebezpieczne
is;jest
even;nawet
smoking;palenie
small;małej
number;liczby
cigarettes;papierosów
nicotine;nikotyna
is;jest
poison;trucizną
nicotine;nikotyna
this;to
main;główny
ingredient;składnik
cigarettes;papierosów
cigarettes;papierosy
menthol;mentolowe
can;mogą
be;być
more;bardziej
dangerous;niebezpieczne
not easy;niełatwo
throw;rzucić
smoking;palenie
on;na
always;zawsze
if;jeśli
you throw;rzucisz
smoking;palenie
probably;prawdopodobnie
you;będziesz
he lived;żył
longer;dłużej
more than;ponad
billion;miliard
people;ludzi
on;na
All;całym
world;świecie
pali;pali
cigarettes;papierosy
smoking;palenie
every;każdego
year;roku
kills;zabija
about;około
bake;pięć
millions;milionów
people;osób
smoking;palenie
increase;zwiększa
risk;ryzyko
diseases;choroby
Alzheimer's;alzheimera
smokers;palacze
harm;szkodzą
no;nie
only;tylko
himself;sobie
prohibition;zakaz
smoking;palenia
in;w
locations;miejscach
public;publicznych
smoky;zadymione
bars;bary
and;i
restaurants;restauracje
burns;wypala
box;paczkę
cigarettes;papierosów
daily;dziennie
alone;sam
himself;sobie
twists;skręca
cigarettes;papierosy
drunk;upił
himself;się
down;do
unconsciousness;nieprzytomności
poured;nalał
two;dwie
glasses;szklanki
and;i
losing;trąciliśmy
himself;się
I drank;wypiłem
cognac;koniak
and;i
I felt;poczułem
how;jak
me;mnie
heats;rozgrzewa
in;w
the middle;środku
I drank;wypiłem
wine;wino
but;ale
no;nie
I felt;poczułem
himself;się
better;lepiej
I turned my;nadstawiłem
glass;szklankę
in order to;żeby
to me;mi
yet;jeszcze
poured;nalał
cognac;koniaku
drank;piliśmy
rum;rum
in;w
very;bardzo
friendly;przyjaznym
mood;nastroju
never;nigdy
himself;się
no;nie
drunk;upijał
took out;wyjął
with;z
pantry;kredensu
little;małą
round;okrągłą
bottle;flaszkę
with;z
long;długą
neck;szyjką
he liked;lubił
glass;szklaneczkę
good;dobrego
a drink;trunku
powariowaliście;powariowaliście
whether;czy
maybe;może
liquor;trunek
hit;uderzył
you;wam
down;do
heads;głów
no;nie
I know;wiem
What;co
this;to
It was;był
behind;za
liquor;trunek
I plugged;zatkałem
ears;uszy
fingers;palcami
I closed;zamknąłem
eyes;oczy
it seems;wydaje
to me;mi
himself;się
that;że
someone;ktoś
eavesdropped;podsłuchiwał
behind;za
the door;drzwiami
I heard;słyszałem
every;każde
word;słowo
after;po
rain;deszczu
smelled;pachniało
in;w
stable;stajni
dry;sucho
and;i
pleasantly;przyjemnie
Thread;nic
no;nie
I noticed;zauważyłem
I felt;czułem
won;woń
hay;siana
was supposed to;miało
this;to
taste;smak
rusted;zardzewiałego
metal;metalu
we have;staliśmy
on;na
rain;deszczu
listening;przysłuchując
himself;się
ago;temu
when;kiedy
on;na
him;niego
I looked;patrzyłem
he opened;otworzył
eyes;oczy
no;nie
I see;widzę
on;na
one;jedno
eye;oko
no;nie
Shell we;możemy
this;tego
see;zobaczyć
I heard;słyszałem
how;jak
They entered;wchodzili
on;na
up;górę
I felt;czułem
won;woń
hay;siana
his;jego
patience;cierpliwość
is;jest
on;na
exhaustion;wyczerpaniu
You are;jesteś
to me;mi
guilty;winny
apology;przeprosiny
emotions;emocje
erupted;rozgorzały
she said;mówiła
that;że
hates;nienawidzi
life;życia
upset;zdenerwowałem
himself;się
she said;powiedziała
equal;równym
dry;suchym
voice;głosem
I measured the;zmierzyłem
him;go
sight;wzrokiem
girl;dziewczyna
He looked;spojrzała
on;na
me;mnie
severely;srogo
we;my
two;dwaj
we talked;rozmawialiśmy
meanwhile;tymczasem
rest;reszta
himself;się
arguing;kłóciła
on;na
my;mój
view;widok
frowned;spochmurniał
blood;krew
hit;uderzyła
to me;mi
down;do
temples;skroni
I felt;poczułem
hell;diabła
in;w
heart;sercu
no;nie
It has;ma
himself;się
what;czego
fear;bać
no;nie
I'm scared;boję
himself;się
you;ciebie
she;ona
awfully;strasznie
fears;boi
himself;się
spiders;pająków
no;nie
It has;ma
himself;się
what;czego
fear;bać
I lost;straciłem
certainty;pewność
each other;siebie
engulfed the;ogarnął
me;mnie
fear;strach
before;przed
darkness;ciemnością
at;przy
cemetery;cmentarnym
wall;murze
courage;odwaga
quite;całkiem
me;mnie
He left the;opuściła
heart;serce
pounded;waliło
to me;mi
very;bardzo
firmly;mocno
I failed;oblałem
himself;się
later;potem
chickened out;stchórzył
and;i
no;nie
gone;poszedł
froze;zamarł
with;z
terror;przerażenia
was;była
wreck;kłębkiem
nerve;nerwów
hair;włosy
They stood;stanęły
him;mu
rearing;dęba
fell;spadł
to me;mi
stone;kamień
with;z
hearts;serca
on;na
her;jej
facial;twarzy
can be seen;widać
it was;było
horror;przerażenie
shaking;drżała
that;ze
fear;strachu
hurt;zraniłem
her;jej
feelings;uczucia
I fell in love;zakochałem
himself;się
in;w
it;niej
very;bardzo
himself;się
love;kochali
remained;pozostał
love;miłością
her;jej
life;życia
we understood;rozumieliśmy
himself;się
perfectly;doskonale
very;bardzo
himself;się
were friends;przyjaźniliśmy
no;nie
they have;mają
down;do
us;nas
trust;zaufania
no;nie
like;lubimy
english;anglików
everybody;wszyscy
we hated;nienawidziliśmy
her;jej
father;ojca
very;bardzo
I;ją
we liked;lubiliśmy
was born;zrodziło
himself;się
between;między
us;nami
Children;dziecinne
feeling;uczucie
she felt;poczuła
down;do
him;niego
sympathy;sympatię
He tried;próbowała
set;nastawić
me;mnie
against;przeciwko
not him;niemu
there;doszło
between;między
them;nimi
down;do
acute;ostrej
exchange;wymiany
sentences;zdań
hate;nienawidzą
himself;się
threw;rzucił
to me;mi
look;spojrzenie
full;pełne
hatred;nienawiści
our;nasi
enemies;wrogowie
no;nie
sleep;śpią
poe;poe
suffered;cierpiał
on;na
depression;depresję
ill;zachorowała
on;na
flu;grypę
virus;wirus
rarely;rzadko
moves;przenosi
himself;się
with;z
human;człowieka
on;na
human;człowieka
vaccine;szczepionka
on;na
Birds;ptasią
flu;grypę
is;jest
secure;bezpieczna
virus;wirus
moves;przenosi
himself;się
way;drogą
droplet;kropelkową
flu;grypa
causes;powoduje
ache;ból
muscles;mięśni
flu;grypa
maybe;może
kill;zabijać
system;układ
immunological;immunologiczny
produces;produkuje
antibodies;przeciwciała
in;w
twentieth;dwudziestym
century;wieku
former;były
two;dwie
pandemics;pandemie
flu;grypy
doctors;lekarze
no;nie
knowledge;wiedzą
What;co
causes;powoduje
asthma;astmę
induration;stwardnienie
sclerosis;rozsiane
different;różni
himself;się
from;od
other;innych
diseases;chorób
life;życie
that;ze
multiple;stwardnieniem
sclerosis;rozsianym
no;nie
is;jest
easy;łatwe
system;układ
nervous;nerwowy
is;jest
Main;głównym
goal;celem
diseases;choroby
fights;walczy
about;o
life;życie
won;wygrał
fight;walkę
with;z
cancer;rakiem
doctors;lekarze
they think;uważają
that;że
no;nie
survive;przeżyje
left;został
mailed;wysłany
down;do
hospital;szpitala
psychiatric;psychiatrycznego
passed;przeszła
radiotherapy;radioterapię
Nowadays;obecnie
feels;czuje
himself;się
Great;świetnie
no;nie
they have;mają
Insurance;ubezpieczenia
health;zdrowotnego
system;system
health;opieki
health;zdrowotnej
no;nie
It has;ma
for;dla
him;niego
hope;nadziei
it seemed;wydawało
himself;się
that;że
her;jej
state;stan
himself;się
improves;poprawia
treatment;leczenie
easier;ułatwiło
him;mu
respiration;oddychanie
every day;codziennie
takes;bierze
medicines;leki
should;powinni
go;chodzić
down;do
doctor;lekarza
on;na
survey;badania
after;po
taking;zażyciu
drugs;leków
they have;mają
problem;problem
with;z
concentration;koncentracją
patient;pacjent
must;musi
stay;pozostać
in;w
hospital;szpitalu
aspirin;aspiryna
diluted;rozcieńcza
blood;krew
doctors;lekarze
often;często
prescribe;przepisują
opiates;opiaty
she;ona
every day;codziennie
takes;bierze
medicine;lekarstwa
it hurts;boli
him;go
leg;noga
all;wszystko
me;mnie
it hurts;boli
is;jest
very;bardzo
sick;chora
and;i
weak;słaba
through;przez
three;trzy
weeks;tygodnie
was;była
unconscious;nieprzytomna
when;kiedy
himself;się
woke up;obudziła
no;nie
could;mogła
speak;mówić
It was;był
paralyzed;sparaliżowany
from;od
neck;szyi
in;w
bottom;dół
attack;atak
diseases;choroby
persists;ustąpi
spontaneously;samoistnie
protracted;przewlekły
ache;ból
maybe;może
give way to;ustąpić
but;ale
often;często
returns;powraca
issues;problemy
appear;pojawiają
himself;się
suddenly;nagle
whether;czy
recently;ostatnio
hurt;bolała
you;cię
head;głowa
occurred;wystąpił
in;w
many;wielu
films;filmach
movie;film
is;jest
leaning;oparty
on;na
real;rzeczywistych
events;wydarzeniach
soon;wkrótce
She began;zaczęła
appear;pojawiać
himself;się
in;w
small;małych
roles;rolach
interested;zainteresowali
himself;się
it;nią
holywoodzcy;holywoodzcy
directors;reżyserzy
her;jej
first;pierwszy
movie;film
he entered;wszedł
on;na
screens;ekrany
in;w
1932;1932
on;na
the end;końcu
video;filmu
He liked;lubiła
play;grać
strong;silne
women;kobiety
one;jedna
with;z
the most famous;nasłynniejszych
roles;ról
Katharina;kathariny
hepburn;hepburn
occurred;wystąpiła
in;w
his;swoim
the last;ostatnim
film;filmie
He died;zmarł
a few;kilka
weeks;tygodni
after;po
completion;zakończeniu
gallery;zdjęć
down;do
video;filmu
people;ludziom
still;nadal
like;podobają
himself;się
her;jej
movies;filmy
received;otrzymała
award;nagrodę
for;dla
best;najlepszej
actress;aktorki
received;otrzymała
nomination;nominację
behind;za
role of;rolę
in;w
appeared;pojawiała
himself;się
also;również
in;w
many;wielu
programs;programach
TV;telewizyjnych
was;była
very;bardzo
careful;ostrożna
at;przy
choosing;wyborze
roles;ról
in;w
films;filmach
one;jeden
with;z
the most expensive;najdroższych
movies;filmów
of all;wszech
the times;czasów
elizabeth;elizabeth
taylor;taylor
fast;szybko
constant;stała
himself;się
famous;sławna
her;jej
husband;męża
alcoholic;alkoholika
he played;zagrał
paul;paul
newman;newman
critics;krytycy
I;ją
praised;chwalili
He played;zagrała
lonely;samotną
woman;kobietę
He hated;nienawidziła
watch;oglądać
each other;siebie
in;w
films;filmach
wrote;napisała
scenarios;scenariusze
down;do
movies;filmów
never;nigdy
no;nie
she thought;myślała
about;o
himself;sobie
as;jako
actress;aktorce
film;filmowej
no;nie
was;była
accepted;akceptowana
in;w
hollywood;hollywood
I can;potrafię
and;i
dance;tańczyć
and;i
sing;śpiewać
trains;ćwiczy
game;grę
on;na
piano;pianinie
gives;daje
her;jej
lessons;lekcje
singing;śpiewu
sing;śpiewa
purely;czysto
game;gra
on;na
instruments;instrumentach
music;muzycznych
one;jednym
with;z
most;najbardziej
known;znanych
teams;zespołów
was;była
nirvana;nirvana
he started;zaczął
paint;malować
paintings;obrazy
presented;przedstawiały
normal;normalne
scene;sceny
with;z
life;życia
edward;edward
he knew;wiedział
that;że
want;chce
stay;zostać
painter;malarzem
this;ten
type;rodzaj
paintings;malarstwa
called;nazywany
is;jest
art;sztuką
commercial;komercyjną
they liked;lubili
paint;malować
ordinary;zwykłych
people;ludzi
paint;maluj
What;co
you feel;czujesz
paint;maluj
What;co
you see;widzisz
paint;maluj
What;co
is;jest
for;dla
you;ciebie
reality;rzeczywistością
exhibited;wystawiał
your;swoje
work;prace
in;w
gallery;galerii
in;w
new;nowym
York City;jorku
only;tylko
few;nieliczni
They bought;kupili
his;jego
paintings;obrazy
people;ludzi
no;nie
interested;interesował
his;jego
straight;prosty
realistic;realistyczny
style;styl
sold;sprzedał
a lot;dużo
paintings;obrazów
famous;zasłynął
mysterious;tajemniczymi
paintings;obrazami
painted;namalował
your;swoje
the most famous;najsłynniejsze
work;dzieło
Nowadays;obecnie
image;obraz
hanging;wisi
in;w
Museum;muzeum
often;często
painted;malował
three;trzy
paintings;obrazy
in;w
within;ciągu
one;jednego
day;dnia
andy;andy
warhol;warhol
It was;był
someone;kimś
more;więcej
than;niż
only;tylko
painter;malarzem
on;na
portrait;portrecie
looks;wygląda
on;na
higher;wyższego
than;niż
in;w
reality;rzeczywistości
he learned;nauczył
himself;się
paint;malować
and;i
carve;rzeźbić
decided;zdecydowała
himself;się
return;powrócić
on;na
the scene;scenę
He played;zagrała
in;w
art;sztuce
under;pod
title;tytułem
art;sztuka
enjoyed;odniosła
large;wielki
success;sukces
immediately;natychmiast
bought;kupił
rights;prawa
down;do
art;sztuki
she had;miała
stage fright;tremę
She began;zaczęła
occur;występować
as;jako
teenager;nastolatka
elderly;starsi
brethren;bracia
Jessica;jessici
They showed;okazywali
interest;zainteresowanie
theater;teatrem
jessica;jessica
she loved;kochała
go;chodzić
down;do
theater;teatru
He played;zagrała
in;w
many;wielu
arts;sztukach
Shakespeare;shakespeare'a
after;po
once;raz
first;pierwszy
He played;zagrała
in;w
art;sztuce
still;nadal
she worked;pracowała
in;w
London;londyńskim
theater;teatrze
his;jego
mother;matka
was;była
actress;aktorką
in;w
local;miejscowym
theater;teatrze
getting;dostawała
only;tylko
small;małe
roles;role
art;sztuka
is;jest
funny;zabawna
and;i
serious;poważna
at the same time;zarazem
her;jej
teacher;nauczycielem
It was;był
very;bardzo
known;znany
playwright;dramaturg
they played;grali
for;dla
full;pełnej
the audience;widowni
art;sztuka
after;po
once;raz
first;pierwszy
she stayed;została
exposed;wystawiona
in;w
london;londynie
in the evening;wieczorem
go;idziemy
down;do
theater;teatru
performance;przedstawienie
it was;było
great;świetne
It was;był
one;jednym
with;z
first;pierwszych
black;czarnych
writers;pisarzy
He posted;pisał
almost;prawie
through;przez
fifty;pięćdziesiąt
bake;pięć
years;lat
famous;zasłynął
descriptions;opisami
life;życia
black;czarnych
Americans;amerykanów
his;jego
works;dzieła
are;są
known;znane
on;na
All;całym
world;świecie
his;jego
works;dzieła
left;zostały
translated;przetłumaczone
on;na
many;wiele
languages;języków
poetry;poezja
Hughes;hughesa
contained;zawierała
serious;poważne
upload;przesłania
he loved;kochał
write;pisać
sitting;siedząc
in;w
clubs;klubach
and;i
listening to;słuchając
blues;bluesa
women;kobiety
read;czytają
literature;literaturę
more often;częściej
than;niż
men;mężczyźni
people;ludzie
discuss;dyskutują
about;o
books;książkach
in;w
online;internecie
wrote;napisała
seven;siedem
books;książek
share;akcja
takes;rozgrywa
himself;się
in;w
small;małym
city;mieście
on;na
Florida;florydzie
her;jej
second;druga
book;książka
she stayed;została
released;wydana
three;trzy
patch;lata
later;później
wrote;napisała
book;książkę
in;w
within;ciągu
seven;siedmiu
weeks;tygodni
this;to
history;historia
black women;murzynki
seeking;szukającej
happiness;szczęścia
published;opublikowała
story;historię
his;swojego
life;życia
wrote;napisała
more than;ponad
hundred;sto
books;książek
I read;czytałem
about;o
this;tym
in;w
newspaper;gazecie
She began;zaczęła
write;pisać
articles;artykuły
for;dla
newspapers;gazet
and;i
magazines;czasopism
many;wielu
people;ludzi
criticized;krytykowało
article;artykuł
often;często
performed;występowała
in;w
TV;telewizji
millions;miliony
Americans;amerykanów
